Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
В мэрии Уфы пообещали благоустроить площадь перед «Мальчиком с кураем» — вот какой она будет,https://ufa1.ru/text/gorod/2023/03/17/72139637/,Город,2023-03-17 10:05:00,214,14507,12
"Верните свои деньги: объясняем в картинках, как получить налоговый вычет",https://ufa1.ru/text/economics/2023/03/17/72132254/,Экономика,2023-03-17 10:00:00,148,86100,2
"Прокуратура Башкирии проверит работу газовиков в девятиэтажке, где рванул газ",https://ufa1.ru/text/incidents/2023/03/17/72139601/,Происшествия,2023-03-17 09:35:00,412,84900,25
В Башкирии погиб из-за схода снега замглавы администрации Зилаирского района,https://ufa1.ru/text/incidents/2023/03/17/72139574/,Политика  Происшествия,2023-03-17 09:17:00,1991,85320,22
В Башкирии в жилом доме произошел взрыв газа — видео,https://ufa1.ru/text/incidents/2023/03/17/72139547/,Происшествия,2023-03-17 08:52:00,1996,84900,25
"В России разносят повестки «для уточнения данных». Что будет, если не ходить в военкомат",https://ufa1.ru/text/world/2023/03/17/72139061/,Страна и мир,2023-03-17 08:00:00,870,83280,18
"Не «Ар-Рахимом» единым: смотрим, какие еще мечети Уфы нуждаются в достройке и ремонте",https://ufa1.ru/text/religion/2023/03/17/72137939/,Религия,2023-03-17 07:20:00,1619,84000,28
«Сразу всех не будут же выгонять»: как продавцы Гагаринского рынка в Уфе выжидают перед реконструкцией,https://ufa1.ru/text/gorod/2023/03/17/72138098/,Город,2023-03-17 07:20:00,1659,0,12
«Надо сначала создать красивое тело»: блогер-инвалид из Уфы собирается стать моделью,https://ufa1.ru/text/style/2023/03/16/72136613/,Стиль и красота,2023-03-16 23:00:00,729,56400,7
Депутата признали виновным в дискредитации ВС РФ за лапшу на ушах: новости СВО за 16 марта,https://ufa1.ru/text/world/2023/03/16/72138092/,Страна и мир,2023-03-16 22:05:00,1044,83100,18
"Круги ада, сухие сливки и томная нежность: смотрим выставку современных художников Уфы",https://ufa1.ru/text/culture/2023/03/16/72131846/,Культура,2023-03-16 22:00:00,563,86100,6
"Больше, чем у Собянина: сколько заместителей у мэра Уфы и его коллег из других городов-миллионников",https://ufa1.ru/text/politics/2023/03/16/72137144/,Политика,2023-03-16 21:00:00,1176,82800,22
Только отметил 20-летие: умершим бойфрендом соцработницы оказался сын артиста из Башкирии,https://ufa1.ru/text/incidents/2023/03/16/72138797/,Происшествия,2023-03-16 20:45:09,3802,85509,25
Что происходит с Wildberries и можно ли заказывать товары? Объясняем в одном видео,https://ufa1.ru/text/business/2023/03/16/72138845/,Бизнес,2023-03-16 20:40:33,746,86124,29
"«Есть игроки, которых стоило бы исключить»: легенды ХК «Салават Юлаев» — о неудачном сезоне",https://ufa1.ru/text/sport/2023/03/16/72132032/,Спорт,2023-03-16 20:00:00,3875,83967,1
"Кому нужны эти ниточки? Пять форм бровей, которые портят образ",https://ufa1.ru/text/style/2023/03/16/72135974/,Стиль и красота,2023-03-16 20:00:00,660,0,7
"«Мама родная, на помощь!». Появилось видео из квартиры, где нашли тела жителя Башкирии и его жены",https://ufa1.ru/text/incidents/2023/03/16/72138704/,Происшествия,2023-03-16 19:55:00,1994,86100,25
Аллаяры в абдрагане: насколько хорошо вы знаете уфимский сленг?,https://ufa1.ru/text/gorod/2023/03/16/72118352/,Город,2023-03-16 19:00:00,2153,83100,12
Потерпите в пробках: в Уфе до конца лета закроют дорогу на выезде из города,https://ufa1.ru/text/transport/2023/03/16/72138569/,Дороги и транспорт,2023-03-16 18:50:00,6929,85800,19
Почему загорелось здание погранслужбы ФСБ в Ростове-на-Дону? И что за взрывы слышали люди? Коротко о главном,https://ufa1.ru/text/world/2023/03/16/72138476/,Страна и мир,2023-03-16 18:11:48,975,84108,18
"«Реакция пассажиров — вымысел». Пилот рассказал, что еще выдумали в фильме про посадку самолета в кукурузном поле",https://ufa1.ru/text/culture/2023/03/16/72137747/,Культура,2023-03-16 17:30:40,1012,83932,6
Развязку на аэропорт Уфы закрыли для большегрузов. Смотрим схему объезда,https://ufa1.ru/text/transport/2023/03/16/72138233/,Дороги и транспорт,2023-03-16 17:25:00,752,86060,19
"Врач, трижды бывавший на СВО, рассказал, что такое «зеленка» и «открытка». Словарь спецоперации",https://ufa1.ru/text/health/2023/03/16/72135695/,Здоровье,2023-03-16 17:00:00,882,84900,23
"Доигрались: в Уфе 13-летний мальчик получил ножевую рану, ребенок в тяжелом состоянии",https://ufa1.ru/text/incidents/2023/03/16/72138020/,Происшествия,2023-03-16 16:27:00,2732,84420,25
"Из суда на нары: в Уфе вынесен приговор приставу, присвоившему деньги должников",https://ufa1.ru/text/criminal/2023/03/16/72137930/,Криминал,2023-03-16 16:10:00,1465,85380,17
Даже пятиклашки справятся! Этот тест по русскому языку из СССР взрослые точно провалят,https://ufa1.ru/text/education/2023/03/16/72134738/,Образование,2023-03-16 16:00:00,1249,85800,16
ОМК представила опыт развития корпоративного волонтерства на I Форуме добровольцев в Уфе,https://ufa1.ru/text/gorod/2023/03/16/72137855/,Город,2023-03-16 15:50:00,615,85800,12
Страсти египетские: появилось видео нападения на иностранного студента БГМУ в Уфе,https://ufa1.ru/text/incidents/2023/03/16/72137684/,Происшествия,2023-03-16 15:30:00,1927,85200,25
В Ростове-на-Дону горит здание пограничной службы ФСБ. Очевидцы сообщают о взрывах,https://ufa1.ru/text/incidents/2023/03/16/72137810/,Происшествия,2023-03-16 15:13:00,1012,85380,25
«Болельщики ждали другой результат»: Радий Хабиров — о ХК «Салават Юлаев»,https://ufa1.ru/text/sport/2023/03/16/72137546/,Спорт,2023-03-16 14:50:00,1941,85020,1
Погибли как минимум трое: онлайн-репортаж с пожара в ростовском погрануправлении,https://ufa1.ru/text/incidents/2023/03/16/72137615/,Происшествия,2023-03-16 14:39:51,741,85791,25
"Ремонта нет, а заезжать нельзя: в ГИБДД разъяснили установку запрещающего знака на улице Ленина в Уфе",https://ufa1.ru/text/transport/2023/03/16/72137213/,Дороги и транспорт,2023-03-16 14:25:00,2112,85509,19
Министр труда РФ отреагировал на забастовку в Wildberries: теперь компанию ждут проверки,https://ufa1.ru/text/job/2023/03/16/72137522/,Работа,2023-03-16 14:16:34,676,85894,20
Отправят ли срочников на границу с Украиной? В комитете Госдумы по обороне ответили на главные вопросы о призыве,https://ufa1.ru/text/world/2023/03/16/72137456/,Страна и мир,2023-03-16 14:06:12,960,85778,18
"Стало известно, когда в Уфе пройдет последний звонок",https://ufa1.ru/text/education/2023/03/16/72137312/,Образование,2023-03-16 13:50:00,1136,85428,16
"Врачи рассказали о состоянии детей уроженца Башкирии, которые 3 дня провели в квартире с мертвыми родителями",https://ufa1.ru/text/incidents/2023/03/16/72137240/,Происшествия,2023-03-16 13:34:00,2247,85440,25
"«Вы свиньи и нежить». Правила жизни блогера-сыроеда, у которого умер ребенок",https://ufa1.ru/text/incidents/2023/03/16/72136064/,Происшествия,2023-03-16 13:30:00,1272,86160,25
Полиция Башкирии начала проверку по жалобе на их сотрудника об избиении жены с сыном-аутистом,https://ufa1.ru/text/family/2023/03/16/72137090/,Семья,2023-03-16 13:10:00,1195,85200,26
«Сиди и сзади дыши»: почему таксисты не пускают пассажиров на переднее сиденье и где в машине безопаснее всего,https://ufa1.ru/text/transport/2023/03/16/72135467/,Дороги и транспорт,2023-03-16 13:00:00,2182,85800,19
В Уфе школу эвакуировали из-за угрозы теракта,https://ufa1.ru/text/incidents/2023/03/16/72137069/,Происшествия,2023-03-16 12:28:00,1764,84480,25
Обнаруженная мертвой в квартире Уфы девушка оказалась соцработницей,https://ufa1.ru/text/incidents/2023/03/16/72136934/,Происшествия,2023-03-16 12:10:00,6039,85320,25
"«Чудес они не сотворят»: витамины, на которые вы зря тратите свои деньги",https://ufa1.ru/text/health/2023/03/16/72135605/,Здоровье,2023-03-16 12:00:00,15002,85800,23
Бывший депутат Курултая Башкирии возглавил Чукотку,https://ufa1.ru/text/politics/2023/03/16/72136919/,Политика,2023-03-16 11:43:00,1499,85380,22
"На пенсионерку повесили кредит по паспорту, потерянному 20 лет назад. Уже в шестой (!) раз",https://ufa1.ru/text/world/2023/03/16/72135395/,Страна и мир,2023-03-16 11:00:00,1151,83820,18
В Уфе влюбленную пару нашли мертвыми в квартире,https://ufa1.ru/text/incidents/2023/03/16/72136733/,Происшествия,2023-03-16 11:00:00,5686,0,25
Мужчину из Башкирии и его жену нашли мертвыми в запертой квартире. Маленькие дети сидели рядом с ними 3 дня,https://ufa1.ru/text/incidents/2023/03/16/72136655/,Происшествия,2023-03-16 10:20:00,7211,84000,25
Жительница Уфы пожаловалась на антисанитарию в одном из роддомов города,https://ufa1.ru/text/gorod/2023/03/16/72136442/,Город,2023-03-16 10:10:00,1599,85800,12
"Кожурки не выкидывайте: 6 овощей и фруктов, которые никогда нельзя чистить",https://ufa1.ru/text/food/2023/03/16/72135872/,Еда,2023-03-16 10:00:00,1373,85800,3
В Башкирии простились с погибшим на Украине доставаловцем,https://ufa1.ru/text/incidents/2023/03/16/72136493/,Происшествия,2023-03-16 09:10:00,4698,83400,25
"«Называют русалкой». Врач с зелеными волосами — о том, как выжить молодому доктору и помочь пожилым пациентам",https://ufa1.ru/text/health/2023/03/16/72135317/,Здоровье,2023-03-16 09:00:00,1138,85800,23
Не банк — и точка: как устроен сервис займов «Ваш инвестор»,https://ufa1.ru/text/gorod/2023/03/16/72133229/,Город,2023-03-16 09:00:00,725,0,12
В Уфе студента БГМУ из Египта ударили ножом,https://ufa1.ru/text/incidents/2023/03/16/72136460/,Происшествия,2023-03-16 08:40:00,2176,85200,25
"Алкоголизм, остеохондроз, гипертония: список болезней, которые дают отсрочку от призыва",https://ufa1.ru/text/health/2023/03/16/72136151/,Здоровье,2023-03-16 08:00:00,3877,84000,23
Дикое чудо под сердцем Уфы: репортаж из тихого поселка в историческом центре башкирской столицы,https://ufa1.ru/text/gorod/2023/03/16/72129056/,Город,2023-03-16 07:50:00,22964,85800,12
"«Либо ты моя, либо сгниешь в психушке»: уфимка рассказала, как ее избивал муж-полицейский",https://ufa1.ru/text/family/2023/03/16/72134165/,Семья,2023-03-16 07:20:00,2797,84600,26
Путин потребовал от силовиков усилить борьбу с недовольными внутри страны: новости СВО за 15 марта,https://ufa1.ru/text/world/2023/03/15/72135557/,Страна и мир,2023-03-15 22:05:00,2713,53100,18
"В мэрии Уфы рассказали, какие дороги будут ремонтировать в 2023 году и когда закончат работы",https://ufa1.ru/text/transport/2023/03/15/72135818/,Город  Дороги и транспорт,2023-03-15 21:31:00,1903,84360,12
Мэр Уфы пообещал нанести больше дорожной разметки. Только на краску выделили больше 20 миллионов рублей,https://ufa1.ru/text/gorod/2023/03/15/72135749/,Город  Дороги и транспорт,2023-03-15 20:32:00,1018,82860,12
"Жители Уфы пожаловались на «потоп» в Нижегородке. В мэрии рассказали, как борются со стихией",https://ufa1.ru/text/incidents/2023/03/15/72135272/,Происшествия,2023-03-15 20:01:00,1440,84540,25
"В «Башавтотрансе» рассказали, почему загорелся их автобус, ехавший из Уфы в Дюртюли",https://ufa1.ru/text/incidents/2023/03/15/72135230/,Происшествия,2023-03-15 19:28:00,2205,84420,25
В России снизилась смертность из-за болезней сердечно-сосудистой системы,https://ufa1.ru/text/health/2023/03/15/72135185/,Здоровье,2023-03-15 18:47:00,457,83940,23
"В Башкирии сгорел автобус «Башавтотранса», ехавший из Уфы в Дюртюли",https://ufa1.ru/text/incidents/2023/03/15/72135095/,Происшествия,2023-03-15 18:15:00,2555,84480,25
"Ремонтировать Шакшинский мост в Уфе за 2,1 миллиарда рублей будет скандальный подрядчик «Башкиравтодор»",https://ufa1.ru/text/gorod/2023/03/15/72134984/,Город  Дороги и транспорт,2023-03-15 17:35:34,5839,84034,12
"«Обменяю ""горящую гору"" на ушастого ежа»: уфимцам предложили собрать коллекцию наклеек о родном крае",https://ufa1.ru/text/gorod/2023/03/15/72134834/,Город,2023-03-15 17:14:00,831,85106,12
"Как красивая бабушка и мама двоих детей завоевала Россию и вселенную — у нее успешный бизнес, но она не умела улыбаться",https://ufa1.ru/text/business/2023/03/15/72133568/,Бизнес,2023-03-15 17:00:00,1637,85560,29
В Уфе подорожал проезд на автобусах подмосковного перевозчика. Поднимут ли цены на других маршрутах?,https://ufa1.ru/text/gorod/2023/03/15/72134798/,Город  Дороги и транспорт,2023-03-15 16:42:00,7051,85320,12
"В Уфе провалился асфальт на перекрестке, где год назад проводила водопровод стройфирма экс-министра",https://ufa1.ru/text/incidents/2023/03/15/72134552/,Весна  Происшествия,2023-03-15 15:51:33,3977,83373,30
«Сначала фигню подписали — теперь бастуют»: что происходит с Wildberries и что делать покупателям — разбираем с юристом,https://ufa1.ru/text/economics/2023/03/15/72134300/,Экономика,2023-03-15 15:06:16,1659,83683,2
«Такие повреждения ведут к изменению личности». Врач — о состоянии Романа Костомарова и шансах на его поправку,https://ufa1.ru/text/health/2023/03/15/72132419/,Здоровье,2023-03-15 15:00:00,1834,86024,23
"В Башкирии выявлено пять случаев заражения корью. Эпидемиолог рассказал, кто в зоне риска",https://ufa1.ru/text/health/2023/03/15/72134228/,Здоровье,2023-03-15 14:58:00,3137,86280,23
Почему рассада не растет: основные причины и как их устранить — простые и дешевые способы,https://ufa1.ru/text/spring/2023/03/15/72127739/,Весна,2023-03-15 14:32:46,1114,84886,30
В Уфе автобус сбил 15-летнего подростка,https://ufa1.ru/text/incidents/2023/03/15/72133979/,Происшествия,2023-03-15 13:55:00,2110,84134,25
Сотрудники Wildberries устроили бунт в городах России — что происходит в уфимских пунктах выдачи,https://ufa1.ru/text/business/2023/03/15/72133967/,Бизнес,2023-03-15 13:50:00,9841,86100,29
"«Сказали, ошибки быть не может»: как живет мать семерых детей, у которой муж погиб в СВО",https://ufa1.ru/text/world/2023/03/15/72132617/,Страна и мир,2023-03-15 13:00:00,2498,83400,18
От удара ВАЗ расплющило: в ДТП на трассе в Башкирии скончалась женщина,https://ufa1.ru/text/incidents/2023/03/15/72133745/,Происшествия,2023-03-15 12:40:00,2566,85200,25
Кошмар в Гае: как убийца-уголовник после освобождения зарезал трех студенток из Башкирии,https://ufa1.ru/text/incidents/2023/03/15/72133340/,Происшествия,2023-03-15 12:10:00,10772,84600,25
Убийце трех студенток из Башкирии вынесли приговор,https://ufa1.ru/text/criminal/2023/03/15/72133517/,Криминал,2023-03-15 11:42:00,3110,84720,17
"В Башкирии вынесли приговор экс-сотрудницам нацгвардии, которые выводили деньги через родственников",https://ufa1.ru/text/criminal/2023/03/15/72133409/,Криминал,2023-03-15 11:25:00,6488,85380,17
Обман раскрылся. Простой машинист победил крупнейшую госкорпорацию страны,https://ufa1.ru/text/job/2023/03/15/72132506/,Работа,2023-03-15 11:00:00,6218,84900,20
"В Башкирии у детей, вернувшихся из Египта, выявили заражение корью. Что говорят в Роспотребнадзоре?",https://ufa1.ru/text/health/2023/03/15/72133334/,Здоровье,2023-03-15 10:34:00,2996,84840,23
"«Вероятность заразиться — 100%»: в регионах России — вспышки кори, врачи требуют вакцинировать всех, у кого нет прививки",https://ufa1.ru/text/health/2023/03/15/72132842/,Здоровье,2023-03-15 10:00:00,1357,84360,23
Здание БашГУ хотят признать объектом культурного наследия,https://ufa1.ru/text/gorod/2023/03/15/72133274/,Город,2023-03-15 10:00:00,988,0,12
В Уфе на 3 дня перекроют одну из центральных улиц: смотрим карту,https://ufa1.ru/text/transport/2023/03/15/72133196/,Дороги и транспорт,2023-03-15 09:35:00,1896,84900,19
«Бог наказывает всех»: уфимцы — о затянувшемся на 16 лет строительстве мечети «Ар-Рахим»,https://ufa1.ru/text/gorod/2023/03/15/72133181/,Город,2023-03-15 09:20:00,4532,85500,12
"Мама ушла в секту, а папа бьет? Родители делят 8-летнюю дочку, обвиняя друг друга в страшных грехах",https://ufa1.ru/text/incidents/2023/03/15/72132347/,Происшествия  Семья,2023-03-15 09:00:00,1352,85200,25
В России снова рассылают повестки. Что происходит?,https://ufa1.ru/text/world/2023/03/15/72132932/,Страна и мир,2023-03-15 08:00:00,5037,82800,18
"«По ночам он вздрагивал от любого шороха»: рассказ жены солдата из Башкирии, который погиб в спецоперации",https://ufa1.ru/text/politics/2023/03/15/72129080/,Политика,2023-03-15 07:50:00,6664,85800,22
Расследование махинаций депутата привело к имаму: детали уголовного дела на оборонном заводе Уфы,https://ufa1.ru/text/business/2023/03/15/72131378/,Бизнес,2023-03-15 07:20:00,25222,84600,29
«Осколки падают на наши крыши»: над Белгородом сбили три ракеты,https://ufa1.ru/text/world/2023/03/15/72133019/,Страна и мир,2023-03-15 03:02:19,1178,70939,18
Битва за господряды: ремонт сразу двух школ Башкирии откладывается из-за конфликта строителей,https://ufa1.ru/text/education/2023/03/14/72131009/,Бизнес  Образование,2023-03-14 23:00:00,3133,71861,29
"США заявили, что российский истребитель перехватил американский дрон над Черным морем",https://ufa1.ru/text/world/2023/03/14/72132761/,Страна и мир,2023-03-14 22:42:00,1280,85320,18
"Наказание за фейки об армии ужесточили, россиянам стали приносить повестки: новости СВО за 14 марта",https://ufa1.ru/text/world/2023/03/14/72132560/,Страна и мир,2023-03-14 22:05:00,1523,84180,18
"Уфимский ресторан, владельцы которого уехали после мобилизации, подорожал до 129 миллионов рублей",https://ufa1.ru/text/realty/2023/03/14/72130589/,Бизнес  Недвижимость,2023-03-14 22:00:00,7539,86100,29
"«Папа никакой не бабник»: истории актеров, от которых забеременели сразу две женщины",https://ufa1.ru/text/entertainment/2023/03/14/72129269/,Развлечения,2023-03-14 22:00:00,1523,0,24
"«Всё будет ещё дороже, а ассортимент — еще хуже»: как по россиянам ударит запрет транзита товаров через Турцию",https://ufa1.ru/text/economics/2023/03/14/72129683/,Экономика,2023-03-14 21:48:46,1441,85726,2
Почему вручают повестки? Что говорят в Кремле о второй волне мобилизации,https://ufa1.ru/text/politics/2023/03/14/72132698/,Политика,2023-03-14 21:43:00,2040,86054,22
"«Если с моим ребенком что-то произойдет, я тебя прибью»: мама из Башкирии — о нападении на педиатра",https://ufa1.ru/text/incidents/2023/03/14/72131327/,Происшествия,2023-03-14 21:00:02,3483,83822,25
"«Крышу гудроном залили, а он просто стек на окна»: репортаж из 127-летнего общежития в центре Уфы",https://ufa1.ru/text/gorod/2023/03/14/72130817/,Город,2023-03-14 20:00:00,2007,82798,12
«Она стала жертвой случая»: что известно об убийстве продавщицы «Красного и Белого» в Уфе,https://ufa1.ru/text/incidents/2023/03/14/72131240/,Происшествия,2023-03-14 19:00:00,11860,82800,25
"Делала одежду для мусульман и работала на ТВ: что известно об уфимке, которая заняла 3-е место на «Мисс Европа»",https://ufa1.ru/text/entertainment/2023/03/14/72131876/,Развлечения,2023-03-14 17:45:00,4594,81900,24
"«Вещи всё вывозят и вывозят»: как живут соседи пятиэтажки, где при взрыве газа погибли 15 человек",https://ufa1.ru/text/incidents/2023/03/14/72131063/,Происшествия,2023-03-14 17:30:00,1402,85500,25
В Башкирии 69-летнего пенсионера обвинили в экстремизме,https://ufa1.ru/text/criminal/2023/03/14/72131813/,Криминал,2023-03-14 17:17:00,4276,85620,17
"«У кого-то родинка, а у вас катетер в сердце». История двухлетней малышки, которая с рождения живет с 15 см силикона в артерии",https://ufa1.ru/text/health/2023/03/14/72129857/,Здоровье,2023-03-14 17:00:00,798,85380,23
"В Башкирии вынесли приговор работникам наркомагазина, который обслуживал 11 регионов России",https://ufa1.ru/text/incidents/2023/03/14/72131708/,Происшествия,2023-03-14 16:30:00,2656,84600,25
В Башкирии стали больше говорить по Wi-Fi,https://ufa1.ru/text/gorod/2023/03/14/72131195/,Город,2023-03-14 16:12:00,2321,85320,12
"«Нужно делать новый, точно такой же»: экс-подрядчик стройки «Ар-Рахим» в Уфе — об упавшем куполе",https://ufa1.ru/text/gorod/2023/03/14/72131588/,Город,2023-03-14 16:00:00,2576,85680,12
Наказывать за дискредитацию Вооруженных сил будут еще строже: нарушителям грозит срок до 15 лет,https://ufa1.ru/text/world/2023/03/14/72098300/,Страна и мир,2023-03-14 15:28:00,976,84480,18
За оскорбление судьи жителя Башкирии приговорили к 9 годам заключения,https://ufa1.ru/text/incidents/2023/03/14/72131354/,Происшествия,2023-03-14 15:10:00,2296,85320,25
"Священный недострой Уфы: как возводили мечеть «Ар-Рахим», которая стала разваливаться еще до открытия",https://ufa1.ru/text/gorod/2023/03/14/72130748/,Город  Религия,2023-03-14 14:40:00,6696,84600,12
"Завтрак — 64 рубля, обед — 72: в школах Уфы утвердили цены на льготное питание",https://ufa1.ru/text/education/2023/03/14/72131186/,Образование,2023-03-14 14:10:00,968,84600,16
«Спали в холоде»: в Уфе целое село осталось без электричества,https://ufa1.ru/text/house/2023/03/14/72130961/,Мой дом,2023-03-14 13:15:00,2070,83100,14
"Назад никто не ломится, но едут. Правда ли, что из Грузии в Россию потянулись назад релоканты",https://ufa1.ru/text/world/2023/03/14/72130121/,Страна и мир,2023-03-14 13:00:00,1671,85500,18
В Уфе мужчину с ножом и баллончиком в руках застали в лифте жилого дома,https://ufa1.ru/text/incidents/2023/03/14/72130787/,Происшествия,2023-03-14 12:43:00,2161,85380,25
"Глава ДУМ Башкирии объяснил, почему купол мечети «Ар-Рахим» не выдержал ветра",https://ufa1.ru/text/gorod/2023/03/14/72130598/,Город,2023-03-14 11:25:00,24900,81720,12
Следующие Блиновская и Самойлова? Чем для блогеров-миллионников обернется дело Чекалиных о неуплате 300 млн рублей,https://ufa1.ru/text/entertainment/2023/03/14/72129773/,Развлечения,2023-03-14 11:00:00,1695,84900,24
"«Просил маму не заходить в зал, а то другие подумают — я лох»: видео выступления Моргенштерна* в 11 лет",https://ufa1.ru/text/entertainment/2023/03/14/72130511/,Развлечения,2023-03-14 10:45:00,3108,85500,24
Александра Розенбаума госпитализировали с тромбом,https://ufa1.ru/text/culture/2023/03/14/72130502/,Культура,2023-03-14 10:38:00,1284,85980,6
В Башкирии загорелась многоэтажка. Погиб 40-летний мужчина,https://ufa1.ru/text/incidents/2023/03/14/72130367/,Происшествия,2023-03-14 09:45:00,2857,83220,25
«Мы опозорились на весь мир»: жители Уфы — о падении купола с минарета мечети «Ар-Рахим»,https://ufa1.ru/text/gorod/2023/03/14/72130307/,Город,2023-03-14 09:10:00,55287,84300,12
Шестерка яиц и странный цвет: почему «похудели» и «побледнели» популярные продукты и товары,https://ufa1.ru/text/economics/2023/03/14/72129611/,Экономика,2023-03-14 09:00:00,1626,85800,2
В России готовятся повысить призывной возраст: 30-летние отправятся служить уже в следующем году,https://ufa1.ru/text/world/2023/03/14/72129938/,Страна и мир,2023-03-14 08:00:00,1392,82800,18
500 дней безнадеги: как отличница-экономистка из Уфы занялась политикой и оказалась в заключении,https://ufa1.ru/text/politics/2023/03/14/72128747/,Политика,2023-03-14 07:50:00,4965,85800,22
"Мягко стелют: что известно о владельцах фабрики матрасов в Башкирии, которой власти дали миллионы",https://ufa1.ru/text/economics/2023/03/14/72122879/,Бизнес  Экономика,2023-03-14 07:20:00,8558,84600,29
"«Пытаюсь понять и переварить, что вижу себя на этой сцене»: уфимка — о своем участии в шоу «Голос»",https://ufa1.ru/text/culture/2023/03/13/72128180/,Культура,2023-03-13 23:00:00,1639,56400,6
"В Кремле рассказали, можно ли решить конфликт на Украине мирным путем: новости СВО за 13 марта",https://ufa1.ru/text/world/2023/03/13/72128618/,Страна и мир,2023-03-13 22:05:00,1621,83100,18
Верили в своих до последней секунды: лучшие баннеры и плакаты фанатов ХК «Салават Юлаев» за сезон,https://ufa1.ru/text/sport/2023/03/13/72128096/,Спорт,2023-03-13 22:00:00,1333,86100,1
"В Башкирии заброшенный автовокзал продают за 13,5 миллиона рублей. Смотрим, как он выглядит",https://ufa1.ru/text/realty/2023/03/13/72127394/,Недвижимость,2023-03-13 21:00:00,8565,82800,4
Метил в президенты и спасал животных: чем запомнился башкирский конезаводчик Хасан Идиятуллин,https://ufa1.ru/text/politics/2023/03/13/72127637/,Политика,2023-03-13 20:00:00,3416,82800,22
Как падал купол «Ар-Рахима» в Уфе — видео,https://ufa1.ru/text/incidents/2023/03/13/72129392/,Происшествия,2023-03-13 19:43:00,18475,85380,25
"Один купол на земле, остальные шатаются: фотографии мечети «Ар-Рахим» в Уфе с разрушенным минаретом",https://ufa1.ru/text/incidents/2023/03/13/72129365/,Происшествия,2023-03-13 19:30:00,23385,85620,25
Пенсионеры из Уфы погрузились в мир театрального искусства,https://ufa1.ru/text/gorod/2023/03/13/72128393/,Город,2023-03-13 19:30:00,2230,0,12
Полина Гагарина захотела сделать пакость после выступления уфимки на шоу «Голос» — видео,https://ufa1.ru/text/culture/2023/03/13/72128120/,Культура,2023-03-13 19:00:00,50472,84600,6
У мечети «Ар-Рахим» отвалился купол минарета,https://ufa1.ru/text/gorod/2023/03/13/72129167/,Город,2023-03-13 18:44:00,11316,85440,12
Время уже пришло: как вырастить арбуз в теплице — инструкция для ленивых садоводов,https://ufa1.ru/text/spring/2023/03/13/72126344/,Весна,2023-03-13 18:00:00,1008,83760,30
"Весна покажет, кто где гадил: из-под растаявшего снега в Уфе вылезли кучи мусора — фоторепортаж",https://ufa1.ru/text/gorod/2023/03/13/72128537/,Город,2023-03-13 17:40:00,1497,85200,12
Бег с препятствиями до врача: пациенты пожаловались на каток и лужи вокруг больницы в Уфе — фото,https://ufa1.ru/text/health/2023/03/13/72128912/,Здоровье,2023-03-13 17:10:00,1633,84600,23
"«Закружилась голова, бросило в жар»: как журналист 40 минут стояла на гвоздях — и почему это так популярно",https://ufa1.ru/text/health/2023/03/13/72124592/,Здоровье,2023-03-13 17:00:00,1428,85800,23
На депутата горсовета возбудили дело о мошенничестве на сделках оборонного завода в Уфе,https://ufa1.ru/text/criminal/2023/03/13/72128843/,Криминал,2023-03-13 16:40:00,14029,85200,17
В Госдуму внесли закон о повышении призывного возраста,https://ufa1.ru/text/world/2023/03/13/72128825/,Страна и мир,2023-03-13 16:21:00,2031,85260,18
Дом залило водой и засыпало обломками: в еще одной уфимской двухэтажке обвалилась крыша,https://ufa1.ru/text/incidents/2023/03/13/72128735/,Происшествия,2023-03-13 16:15:00,2438,86040,25
"«У нас все переживают, мне самому страшно»: продавец «Красного и Белого» — об убийстве коллеги в Уфе",https://ufa1.ru/text/incidents/2023/03/13/72128273/,Происшествия,2023-03-13 16:00:00,24571,85500,25
"Власти Башкирии заявили, что собираются сотрудничать с Ираном в сфере добычи нефти",https://ufa1.ru/text/politics/2023/03/13/72128540/,Политика,2023-03-13 15:15:00,2300,83700,22
Верховный суд Башкирии вновь отказался освободить Лилию Чанышеву*,https://ufa1.ru/text/politics/2023/03/13/72128531/,Политика,2023-03-13 15:00:00,1720,85500,22
"«Может, еще грудь пришьешь»: история пекаря, который ушел в декрет вместо жены",https://ufa1.ru/text/family/2023/03/13/72123590/,Семья,2023-03-13 15:00:00,1176,0,26
В Башкирии перекрыли две ледовые переправы,https://ufa1.ru/text/transport/2023/03/13/72128420/,Дороги и транспорт,2023-03-13 14:30:00,1204,84600,19
"У сервисов «ВКонтакте» массовый сбой, пользователей «выкидывает» из аккаунтов",https://ufa1.ru/text/gorod/2023/03/13/72128414/,Город,2023-03-13 14:16:00,1222,85560,12
Гоняла медика по поликлинике: жительница Башкирии напала на педиатра — видео,https://ufa1.ru/text/incidents/2023/03/13/72128225/,Происшествия,2023-03-13 14:15:00,4082,86340,25
"Ожидаются подтопления: синоптики рассказали, как пройдет паводок в Башкирии",https://ufa1.ru/text/spring/2023/03/13/72128102/,Весна,2023-03-13 14:00:00,3029,85500,30
«Хотела в тюрьму»: источник рассказал ужасную причину убийства продавщицы «Красного и белого» в Уфе,https://ufa1.ru/text/incidents/2023/03/13/72128036/,Происшествия,2023-03-13 13:00:00,12105,82800,25
