Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
«Разумные решения в упор не видят»: уфимцы — о Нейпецевском дендропарке,https://ufa1.ru/text/transport/2023/02/02/72026171/,Дороги и транспорт  Экология,2023-02-02 14:40:00,2456,85200,19
"Мы попросили врачей назвать самые вредные продукты, и вот что они ответили",https://ufa1.ru/text/food/2023/02/02/72023918/,Еда,2023-02-02 14:00:00,2374,84000,3
"В Башкирии закончили расследование ДТП с фурой и Lada Largus, в которой погибло 6 человек",https://ufa1.ru/text/incidents/2023/02/02/72025793/,Происшествия,2023-02-02 13:28:00,3484,84480,25
«Больше не видят в нас туристов»: россиянин рассказал о новых условиях выдачи ВНЖ в Турции,https://ufa1.ru/text/world/2023/02/02/72023801/,Страна и мир,2023-02-02 13:00:00,3782,84720,18
"Перед судом предстанет уфимский адвокат, которого задержали с 1,5 миллиона рублей",https://ufa1.ru/text/criminal/2023/02/02/72025586/,Криминал,2023-02-02 12:23:00,6902,84180,17
ДДТ собрала 15 миллионов рублей на новый альбом,https://ufa1.ru/text/culture/2023/02/02/72025499/,Культура,2023-02-02 12:00:00,1994,85020,6
«Накинули процент»: владельцам мобильников добавили новую комиссию при оплате связи,https://ufa1.ru/text/economics/2023/02/02/72024311/,Экономика,2023-02-02 11:00:00,4402,82800,2
«Возвращаемся к советской модели борьбы с коррупцией»: зачем в России обезличили доходы депутатов и сенаторов,https://ufa1.ru/text/politics/2023/02/02/72024053/,Политика,2023-02-02 10:00:00,2064,82800,22
На Украине погиб 28-летний мобилизованный из Башкирии,https://ufa1.ru/text/incidents/2023/02/02/72025175/,Происшествия,2023-02-02 09:59:00,7420,86340,25
«Осталось где-то купить телеги»: уфимцы — о срыве поставки подержанных трамваев из Москвы,https://ufa1.ru/text/transport/2023/02/02/72025052/,Дороги и транспорт,2023-02-02 09:18:00,6429,83940,19
"Вино из Томска и прошутто из Дмитрова, которые притворяются импортом, — отличите «своих» на полке?",https://ufa1.ru/text/food/2023/02/02/72024131/,Еда,2023-02-02 09:00:00,1835,85320,3
"Известный шеф-повар Илья Лазерсон рассекретил семь рецептов вкусных блинов, которые получатся у каждого",https://ufa1.ruhttps://ufa1.ru/text/longread/2023/02/02/72015830/,Город  Еда,2023-02-02 09:00:00,26157,0,12
Прошаляпили: дом великого оперного певца в Уфе разваливается на глазах,https://ufa1.ru/text/culture/2023/02/02/72022235/,Город  Культура,2023-02-02 08:15:00,8046,83700,12
"Мужчина женился на девушке моложе его на 17 лет. Оказалось, что это его дочь",https://ufa1.ru/text/family/2023/02/02/72024530/,Семья,2023-02-02 08:00:00,7795,85500,26
"Гарцующие кони, соболь с молотом и... атомы? Угадайте город Башкирии по гербу",https://ufa1.ru/text/entertainment/2023/02/02/72016739/,Развлечения,2023-02-02 07:50:00,3609,85800,24
"Путин заявил, что обстрелов приграничных районов России не должно быть: новости СВО за 1 февраля",https://ufa1.ru/text/world/2023/02/01/72022244/,Страна и мир,2023-02-01 22:05:00,2292,51300,18
"Как я раньше не пробовал? 3 медицинских факта, после которых вы полюбите кофе с лимоном",https://ufa1.ru/text/food/2023/02/01/72020933/,Еда,2023-02-01 22:00:00,6803,86100,3
